Datetime,Tweet ID,Tweet,Location,Username
2008-12-04 20:08:00+00:00,1038786466,Great day to be a @bankofamerica partner. What a huge step forward: http://www.dailykos.com/storyonly/2008/12/3/17287/0903/205/668999,,rossmeissl
2008-11-14 16:50:24+00:00,1005727653,16:37 for a customer service call over the phone is way too long without setting that expectation. Are you listening @bankofamerica?,,adamwiggall
2008-10-31 22:04:26+00:00,984449615,"@BankOfAmerica Kindof concerning, behind a Hindi woman at the ATM who has like ten to twelve different cards she's running transactions on..",,jeremiahfelt
2008-10-31 14:58:59+00:00,983860756,"@BankOfAmerica: Even if you pull through in the last stretch, i'm still moving.",,zackkitzmiller
2008-10-25 17:55:09+00:00,975209262,hating @bankofamerica less. my own stupid mistake but will be diligent and better in future.,,silver_mari
2008-10-21 18:08:20+00:00,969306163,hate @bankofamerica. wish i had never signed on with them...too much trouble to change b/c direct deposit and whatever.,,silver_mari
2008-10-01 19:12:00+00:00,942302873,stuck in bank...ugh @bankofamerica hire more ppl,,neoblog
2008-09-26 21:24:56+00:00,936259183,"I know why banks are hurting, Money Order @bankofamerica $6.00 vs. Money Order at USPS $1.00...people don't like highway robbery.",,Jobmatchbox
2008-08-21 14:14:30+00:00,894414239,@nudoru @capitalfellow do you think @bankofamerica could be some good-intentioned employee...?,,budesigns
2008-07-26 15:07:17+00:00,869030007,@bankofamerica why do you charge me $78 in fees to cash a canadian check?  im still looking for an answer,,GovLoop
